ISCO2008unitgroup,ISCO2008unitgrouplabel,BRC2014beroepsgroep,BRC2014beroepsgroep_label,BRC2014beroepssegment,BRC2014beroepssegment_label,BRC2014beroepsklasse,BRC2014beroepsklasse_label,ISCO2008niveau,ISCO2008niveau_label
0000,Militaire beroepen z.n.d.,0634,Militaire beroepen,063,Beveiligingswerkers,06,"Openbaar bestuur, veiligheid en juridische beroepen",0,ISCO-niveau 0
0110,Officieren,0634,Militaire beroepen,063,Beveiligingswerkers,06,"Openbaar bestuur, veiligheid en juridische beroepen",4,ISCO-niveau 4
0210,Onderofficieren,0634,Militaire beroepen,063,Beveiligingswerkers,06,"Openbaar bestuur, veiligheid en juridische beroepen",2,ISCO-niveau 2
0310,Andere militaire rangen,0634,Militaire beroepen,063,Beveiligingswerkers,06,"Openbaar bestuur, veiligheid en juridische beroepen",1,ISCO-niveau 1
1000,Managers z.n.d.,0551,Managers z.n.d.,055,Managers z.n.d.,05,Managers,0,ISCO-niveau 0
1100,"Topbestuurders, leden wetgevende instanties, beleidvoerende functies z.n.d.",0551,Managers z.n.d.,055,Managers z.n.d.,05,Managers,4,ISCO-niveau 4
1110,"Leden wetgevende instanties, beleidvoerende functies z.n.d.",0611,Overheidsbestuurders,061,Overheidsambtenaren en -bestuurders,06,"Openbaar bestuur, veiligheid en juridische beroepen",4,ISCO-niveau 4
1111,Leden wetgevende instanties,0611,Overheidsbestuurders,061,Overheidsambtenaren en -bestuurders,06,"Openbaar bestuur, veiligheid en juridische beroepen",4,ISCO-niveau 4
1112,Ambtenaren in beleidvoerende functies,0611,Overheidsbestuurders,061,Overheidsambtenaren en -bestuurders,06,"Openbaar bestuur, veiligheid en juridische beroepen",4,ISCO-niveau 4
1113,Traditionele dorpshoofden,1311,Overig,131,Overig,13,Overig,4,ISCO-niveau 4
1114,Bestuurders van belangenorganisaties,0611,Overheidsbestuurders,061,Overheidsambtenaren en -bestuurders,06,"Openbaar bestuur, veiligheid en juridische beroepen",4,ISCO-niveau 4
1120,Topbestuurders en algemeen directeuren van grote ondernemingen,0511,Algemeen directeuren,051,Algemeen directeuren,05,Managers,4,ISCO-niveau 4
1200,Managers op administratief en commercieel gebied z.n.d.,0551,Managers z.n.d.,055,Managers z.n.d.,05,Managers,4,ISCO-niveau 4
1210,Managers zakelijke en administratieve dienstverlening z.n.d.,0521,Managers zakelijke en administratieve dienstverlening,052,Managers op administratief en commercieel gebied,05,Managers,4,ISCO-niveau 4
1211,Financieel managers,0521,Managers zakelijke en administratieve dienstverlening,052,Managers op administratief en commercieel gebied,05,Managers,4,ISCO-niveau 4
1212,Managers personeel en organisatie,0521,Managers zakelijke en administratieve dienstverlening,052,Managers op administratief en commercieel gebied,05,Managers,4,ISCO-niveau 4
1213,Managers beleid en planning,0521,Managers zakelijke en administratieve dienstverlening,052,Managers op administratief en commercieel gebied,05,Managers,4,ISCO-niveau 4
1219,Managers zakelijke en administratieve dienstverlening n.e.g.,0521,Managers zakelijke en administratieve dienstverlening,052,Managers op administratief en commercieel gebied,05,Managers,4,ISCO-niveau 4
1220,"Managers verkoop, marketing en ontwikkeling z.n.d.",0522,Managers verkoop en marketing,052,Managers op administratief en commercieel gebied,05,Managers,4,ISCO-niveau 4
1221,Managers verkoop en marketing,0522,Managers verkoop en marketing,052,Managers op administratief en commercieel gebied,05,Managers,4,ISCO-niveau 4
1222,Managers reclame en public relations,0522,Managers verkoop en marketing,052,Managers op administratief en commercieel gebied,05,Managers,4,ISCO-niveau 4
1223,Managers onderzoek en ontwikkeling (R&D),0522,Managers verkoop en marketing,052,Managers op administratief en commercieel gebied,05,Managers,4,ISCO-niveau 4
