isco08,isco88,label_nl,egp11,egp_label,egp11_farm_selfempl,egp_note
0000,0110,Militaire beroepen z.n.d.,NA,NA,NA,armed forces: no egp class in iskoroot
0110,0110,Officieren,NA,NA,NA,armed forces: no egp class in iskoroot
0310,0110,Andere militaire rangen,NA,NA,NA,armed forces: no egp class in iskoroot
1000,1000,Managers z.n.d.,1,I :Higher Controllers,1,NA
1111,1110,Leden wetgevende instanties,1,I :Higher Controllers,1,NA
1112,1120,Ambtenaren in beleidvoerende functies,1,I :Higher Controllers,1,NA
1114,1140,Bestuurders van belangenorganisaties,2,II :Lower Controllers,2,NA
1120,1210,Topbestuurders en algemeen directeuren van grote ondernemingen,1,I :Higher Controllers,1,NA
1211,1231,Financieel managers,1,I :Higher Controllers,1,NA
1212,1232,Managers personeel en organisatie,1,I :Higher Controllers,1,NA
1213,1239,Managers beleid en planning,1,I :Higher Controllers,1,NA
1219,1229,Managers zakelijke en administratieve dienstverlening n.e.g.,1,I :Higher Controllers,1,NA
1221,1233,Managers verkoop en marketing,1,I :Higher Controllers,1,NA
1222,1234,Managers reclame en public relations,1,I :Higher Controllers,1,NA
1223,1237,Managers onderzoek en ontwikkeling (R&D),1,I :Higher Controllers,1,NA
1311,1221,Managers landbouw en bosbouw,11,IVc:Selfempl Farmer,11,NA
1312,1221,Managers aquacultuur en visserij,11,IVc:Selfempl Farmer,11,NA
1321,1222,Managers industrie,1,I :Higher Controllers,1,NA
1323,1223,Managers bouwnijverheid,1,I :Higher Controllers,1,NA
1324,1235,"Managers logistiek, distributie en aanverwante gebieden",1,I :Higher Controllers,1,NA
1330,1236,Managers informatie- en communicatietechnologie,1,I :Higher Controllers,1,NA
1341,1229,Managers kinderopvang,1,I :Higher Controllers,1,NA
1342,1229,Managers gezondheidszorg,1,I :Higher Controllers,1,NA
1344,1229,Managers sociale dienstverlening,1,I :Higher Controllers,1,NA
1345,1229,Managers onderwijs,1,I :Higher Controllers,1,NA
1346,1227,Managers financiële dienstverlening en verzekeringen,1,I :Higher Controllers,1,NA
1349,1229,Managers gespecialiseerde dienstverlening n.e.g.,1,I :Higher Controllers,1,NA
1411,1315,Hotelmanagers,2,II :Lower Controllers,2,NA
1412,1315,Restaurantmanagers,2,II :Lower Controllers,2,NA
1420,1314,Managers detail- en groothandel,2,II :Lower Controllers,2,NA
1431,1319,Managers recreatie en amusement,2,II :Lower Controllers,2,NA
1439,1319,Managers commerciële en persoonlijke dienstverlening n.e.g.,2,II :Lower Controllers,2,NA
2111,2111,Natuurkundigen en sterrenkundigen,1,I :Higher Controllers,1,NA
2113,2113,Chemici,1,I :Higher Controllers,1,NA
2114,2114,Geologen en geofysici,1,I :Higher Controllers,1,NA
2120,2120,"Wiskundigen, actuarissen en statistici",1,I :Higher Controllers,1,NA
2131,2211,"Biologen, botanici, zoölogen",1,I :Higher Controllers,1,NA
2132,2213,"Adviseurs op het gebied van landbouw, bosbouw en visserij",1,I :Higher Controllers,1,NA
2133,2200,Milieudeskundigen,1,I :Higher Controllers,1,NA
2140,2140,Ingenieurs (m.u.v. elektrotechnisch ingenieurs) z.n.d.,1,I :Higher Controllers,1,NA
2141,2149,Industrieel ingenieurs en productie-ingenieurs,1,I :Higher Controllers,1,NA
2142,2142,Weg- en waterbouwkundigen,1,I :Higher Controllers,1,NA
2144,2145,Werktuigbouwkundigen,1,I :Higher Controllers,1,NA
2145,2146,Chemisch ingenieurs,1,I :Higher Controllers,1,NA
2146,2147,Mijnbouwkundigen en metaalkundigen,1,I :Higher Controllers,1,NA
2149,2149,Ingenieurs n.e.g.,1,I :Higher Controllers,1,NA
2151,2143,Elektrotechnisch ingenieurs,1,I :Higher Controllers,1,NA
2152,2144,Elektronica- en hardware ingenieurs,1,I :Higher Controllers,1,NA
2153,2144,Telecommunicatie-ingenieurs,1,I :Higher Controllers,1,NA
2160,2140,"Architecten, planologen, landmeetkundigen en vormgevers z.n.d.",1,I :Higher Controllers,1,NA
2161,2141,Bouwkundig- en interieurarchitecten,1,I :Higher Controllers,1,NA
2163,3471,Product- en kledingontwerpers,2,II :Lower Controllers,2,NA
2164,2141,Stedenbouwkundigen en verkeersplanologen,1,I :Higher Controllers,1,NA
2165,2148,Cartografen en landmeetkundigen,2,II :Lower Controllers,2,NA
2166,3471,Grafisch vormgevers en multimedia vormgevers,2,II :Lower Controllers,2,NA
2210,2220,Artsen z.n.d.,1,I :Higher Controllers,1,NA
2211,2221,Huisartsen en basisartsen (niet in opleiding tot specialist),1,I :Higher Controllers,1,NA
2212,2221,Medisch specialisten,1,I :Higher Controllers,1,NA
